ID,Name,Year Published,Bayesian Average,Mechanic,Category
203,Skworms,1997,0,Roll / Spin and Move,Action / Dexterity
204,Stephenson's Rocket,1999,6.34812,Area Majority / Influence,Trains
205,Not available,Not available,Not available,Not available,Not available
207,Twitch,1998,5.5465,Not available,Action / Dexterity
208,Ex & Hopp,1996,5.4989,Not available,Card Game
209,Not available,Not available,Not available,Not available,Not available
211,Times to Remember,1992,5.57588,Not available,Party Game
212,Not available,Not available,Not available,Not available,Not available
214,Café International,1989,5.89646,Hand Management,Abstract Strategy
216,Atlanteon,1992,5.57224,Area Majority / Influence,Abstract Strategy
217,A la carte,1989,6.07183,Action Points,Action / Dexterity
219,Volle Hütte,1997,5.54584,Hand Management,Economic
221,Ikusa,1986,6.5136,Area Majority / Influence,Civil War
222,Space Beans,1999,5.74005,Open Drafting,Card Game
223,Expeditions: Around the World,1996,6.01492,Connections,Adventure
224,History of the World,1991,6.5596,Area Majority / Influence,Civilization
226,Isi,1999,5.52222,Modular Board,Abstract Strategy
227,Knightmare Chess,1994,5.85503,Grid Movement,Abstract Strategy
228,Lunch Money,1996,5.51607,Hand Management,Card Game
229,King of the Elves,1999,5.7598,Hand Management,Card Game
230,Merchant of Venus,1988,6.41081,Commodity Speculation,Economic
232,Serenissima,1996,6.17327,Area Movement,Economic
233,Not available,Not available,Not available,Not available,Not available
235,Blackbeard,1991,5.84021,Dice Rolling,Adventure
237,Wooden Ships & Iron Men,1974,6.24653,Action Queue,Age of Reason
238,Not available,Not available,Not available,Not available,Not available
240,Britannia,1986,6.58947,Area Movement,Ancient
242,Junta,1979,6.3178,Area Movement,Economic
243,Advanced Squad Leader,1985,6.97867,Critical Hits and Failures,Wargame
245,Not available,Not available,Not available,Not available,Not available
247,Gloria Picktoria,1996,5.78807,Open Drafting,Card Game
249,Lifeboats,1993,6.17191,Player Elimination,Nautical
250,Colonial Diplomacy,1994,5.66687,Area Majority / Influence,Bluffing
252,The Battle of Borodino: Napoleon in Russia 1812,1972,5.57903,Dice Rolling,Napoleonic
254,Empires in Arms,1983,6.22998,Area Movement,Economic
