ID,Name,Year Published,Bayesian Average,Mechanic,Category
3763,Not available,Not available,Not available,Not available,Not available
3765,Babylon 5 Wars,1997,5.58626,Hexagon Grid,Fighting
3766,Second Front,1994,5.58301,Dice Rolling,Wargame
3767,Not available,Not available,Not available,Not available,Not available
3769,Cross Up,1974,0,Spelling,Movies / TV / Radio theme
3770,Caramba,1973,0,Roll / Spin and Move,Abstract Strategy
3772,Mystick Companion,2000,5.52317,Not available,Card Game
3773,Challenge of the Lion Lord,1995,0,Roll / Spin and Move,Adventure
3775,Let's Go Racing,2002,0,Betting and Bluffing,Sports
3777,Not available,Not available,Not available,Not available,Not available
3779,Fridericus Rex,1988,0,Area Majority / Influence,Age of Reason
3781,Parthenon,1999,0,Not available,Not available
3783,Royal Ascot,1991,0,Not available,Racing
3785,Not available,Not available,Not available,Not available,Not available
3787,Via Mala,1999,0,Cooperative Game,Travel
3788,The American Goldrush 1849,1985,5.50156,Dice Rolling,American West
3789,Actium,1995,0,Not available,Nautical
3790,Aeronautika,1996,5.51323,Hand Management,Aviation / Flight
3791,Greek Fire,2000,0,Hexagon Grid,Ancient
3793,Pig Pong,1986,5.50943,Team-Based Game,Action / Dexterity
3794,Legend of Zagor,1993,5.55196,Not available,Adventure
3796,Trial by Pylon,1982,0,Card Play Conflict Resolution,Card Game
3797,Grade Up to Elite Cow,1986,0,Dice Rolling,Animals
3798,Golfwinks,1973,0,Modular Board,Action / Dexterity
3799,Bowling Bunnies,1988,0,Not available,Action / Dexterity
3800,Himalaya,2004,6.25896,Action Queue,Economic
3801,When Darkness Comes,2002,5.50321,Modular Board,Dice
3802,Arena,2002,0,Hexagon Grid,Ancient
3803,Counter Space: The CGME Space Opera Gameworld,2002,0,Hexagon Grid,Dice
3804,Slamwich,1994,5.33712,Pattern Recognition,Card Game
3805,Domino Dice,2000,5.50062,Not available,Dice
3807,Smokejumpers,1996,5.55228,Enclosure,Not available
3808,Not available,Not available,Not available,Not available,Not available
3810,Gusher,1946,0,Not available,Industry / Manufacturing
3811,Evil Genius,2002,0,Set Collection,Card Game
3813,Chutzpah,1967,0,Roll / Spin and Move,Economic
3814,Desert War: Tactical Warfare in North Africa,1973,5.50189,Dice Rolling,Wargame
3815,"World War II: European Theater of Operations, 1939-45",1973,5.51953,Dice Rolling,Wargame
3816,Tip the Ship,1994,0,Not available,Action / Dexterity
3818,Alias,1990,5.6177,Acting,Party Game
3819,Lord of the Rings: Sauron,2002,6.08518,Cooperative Game,Adventure
3820,Star Fleet Missions,1992,5.4387,Hand Management,Card Game
3821,Chobolo,1998,0,Modular Board,Collectible Components
3823,Scandal,1998,0,Not available,Card Game
3824,Heroes of Asfar: The College of Magi,1995,0,Not available,Card Game
3825,Breakthrough,2001,5.53325,Point to Point Movement,Abstract Strategy
3826,Unlur,2002,5.53946,Auction: Turn Order Until Pass,Abstract Strategy
3827,Creature Castle,1975,5.5105,Move Through Deck,Racing
3829,Trainsport: Switzerland,1997,5.51342,Not available,Economic
3830,Doctor Who: Battle for the Universe,1989,5.48434,Roll / Spin and Move,Abstract Strategy
3831,Not available,Not available,Not available,Not available,Not available
3833,Takeover: The Stock Market Game,1980,0,Auction/Bidding,Bluffing
3834,Not available,Not available,Not available,Not available,Not available
3836,Legend of the Burning Sands,1998,5.61,Not available,Card Game
3837,Rat-a-Tat Cat,1995,5.93087,Memory,Animals
3838,Firestorm,2001,5.52494,Not available,Card Game
3839,UNO Dominos,1986,5.46125,Pattern Building,Abstract Strategy
3840,RIFTS Collectible Card Game,2001,5.47624,Not available,Card Game
3842,Wing Commander,1995,5.4923,Not available,Card Game
3844,Pez,2000,5.50146,Not available,Card Game
3846,Ghostly Galleon,1991,5.48983,Dice Rolling,Adventure
3847,Racing Challenge,2000,0,Not available,Card Game
3848,Ultimate Combat!,1995,5.49547,Not available,Card Game
3850,Galactic Empires,1994,5.48519,Hand Management,Card Game
3852,Star Trek Customizable Card Game,1994,5.67047,Hand Management,Card Game
3853,Warhammer Quest: Lair of the Orc Lord,1995,5.70727,Dice Rolling,Adventure
3855,Crimson Skies,1998,5.7202,Simultaneous Action Selection,Aviation / Flight
3856,Not available,Not available,Not available,Not available,Not available
3858,Warhammer Quest: Catacombs of Terror,1995,5.69873,Dice Rolling,Adventure
3859,War of Masters,1983,0,Dice Rolling,Abstract Strategy
3860,Wordsearch,1988,5.54682,Pattern Building,Word Game
3862,Not available,Not available,Not available,Not available,Not available
3864,Mechwarrior: Dark Age,2002,5.67003,Action Points,Collectible Components
3865,Wheel of Intoxication,1998,0,Not available,Party Game
3866,Not available,Not available,Not available,Not available,Not available
3868,Not available,Not available,Not available,Not available,Not available
3870,7 Ages,2004,5.99327,Area Movement,Age of Reason
3871,Factories,2001,0,Pattern Building,Card Game
3872,Not available,Not available,Not available,Not available,Not available
3874,Ultimate Mastermind,1972,5.60906,Induction,Abstract Strategy
3876,Fimbulvetr: Winter of Winters,1999,0,Variable Player Powers,Abstract Strategy
3877,Not available,Not available,Not available,Not available,Not available
3879,"What's Up, Doc?",1978,0,Roll / Spin and Move,Children's Game
3880,Not available,Not available,Not available,Not available,Not available
3882,The Last Starfighter: Duel In Space,1984,0,Dice Rolling,Movies / TV / Radio theme
3883,4th Reich: Puremen vs. the Mutants for Control of the World,1985,5.48214,Dice Rolling,Economic
3884,Mana Burn,1998,5.49291,Hand Management,Fantasy
3885,Gold Digger,1998,5.50867,Memory,Card Game
3886,Nine Men's Morris,-1400,5.41316,Pattern Building,Abstract Strategy
3887,Stock Market Game,1963,5.56681,Commodity Speculation,Economic
3888,Mock My Words,1991,0,Team-Based Game,Humor
3890,Lightning Strike,1999,0,Action Points,Miniatures
3891,Slag!: Combat on the High Frontier,1995,0,Hexagon Grid,Science Fiction
3892,Star Blazers Fleet Battle System,1997,5.52318,Hexagon Grid,Miniatures
3893,Full Thrust,1992,5.81885,Action Queue,Miniatures
3894,Brilliant Lances,1993,5.50097,Critical Hits and Failures,Science Fiction
3895,Silent Death,1990,5.72537,Dice Rolling,Miniatures
3896,Struggle For The Throne: Star Trek III,1984,5.50039,Modular Board,Movies / TV / Radio theme
3897,Not available,Not available,Not available,Not available,Not available
3899,Not available,Not available,Not available,Not available,Not available
3901,Sturm Nach Osten,1980,5.55192,Dice Rolling,Wargame
3903,Nuclear Escape,1985,0,Cooperative Game,Negotiation
3904,Le Chat Noir,2001,0,Not available,Card Game
3905,Stop Secret,1998,0,Pick-up and Deliver,Racing
3906,The Dark Crystal Card Game,1982,0,Hand Management,Card Game
3907,Richard Scarry's Busytown Poles & Ladders Game,1999,0,Roll / Spin and Move,Children's Game
3908,Dr. Seuss Green Eggs and Ham Game,1996,5.45734,Roll / Spin and Move,Children's Game
3909,Pirate's Treasure,2001,5.49016,Memory,Children's Game
3910,Harry Potter: Diagon Alley Board Game,2001,5.47059,Roll / Spin and Move,Children's Game
3912,Contiquences,2002,0,Roll / Spin and Move,Trivia
3913,Tron: Assault on MCP Game,1981,0,Roll / Spin and Move,Action / Dexterity
3914,Splat!,1990,5.50448,Roll / Spin and Move,Animals
3916,How to Host a Murder: Roman Ruins,1996,5.51579,Role Playing,Murder/Mystery
3917,The Dark Crystal Game,1982,0,Roll / Spin and Move,Fantasy
3918,Raiders of the Lost Ark Game,1981,5.50544,Roll / Spin and Move,Adventure
3919,Chute-5,1973,5.48698,Not available,Dice
3920,Monster Maker,1988,5.516,Not available,Card Game
3921,Street Illegal,2002,5.52312,Auction/Bidding,Bluffing
3923,Magic Master,1989,0,Not available,Card Game
3925,Elefant Hunt,1984,5.53581,Dice Rolling,Adventure
3927,Magus!,1989,0,Action Points,Fantasy
3928,Beyond Competition,1977,5.51638,Cooperative Game,Abstract Strategy
3929,Spark,1991,0,Grid Movement,Abstract Strategy
3931,Mare Nostrum,2003,6.2044,Area Majority / Influence,Ancient
3932,Interplay,1980,5.53894,Pattern Building,Abstract Strategy
3934,Bowling Dice,1999,5.31178,Dice Rolling,Children's Game
3935,The Art of Siege,1978,5.55934,Hexagon Grid,Age of Reason
3937,Games of Art,1975,5.51878,Enclosure,Abstract Strategy
3938,Beyond Words,1977,0,Paper-and-Pencil,Book
3939,Calculate!,1979,0,Paper-and-Pencil,Book
3940,Beyond Solitaire,1976,0,Paper-and-Pencil,Book
3941,Dragonriders of Pern,1983,5.48772,Campaign / Battle Card Driven,Novel-based
3942,Hard Vacuum: Science Gone Mad,2001,5.52891,Hexagon Grid,Expansion for Base-game
3943,Munchkin 2: Unnatural Axe,2002,6.09429,Dice Rolling,Card Game
3945,Forbidden Bridge,1992,5.61811,Roll / Spin and Move,Action / Dexterity
3946,Pyramid,1978,5.50538,Pattern Building,Abstract Strategy
3947,Cannibal Pygmies in the Jungle of Doom,2002,5.51709,Hand Management,Adventure
3949,Not available,Not available,Not available,Not available,Not available
3951,Octrix,1970,5.50214,Trick-taking,Card Game
3952,Quad Checkers,1987,0,Area Majority / Influence,Abstract Strategy
3953,Assembly Line,1953,0,Roll / Spin and Move,Economic
3954,Baseball Strategy,1960,5.5249,Hand Management,Dice
3955,BANG!,2002,6.32914,Hand Management,American West
3956,Four-Letter Frenzy,1987,0,Hand Management,Action / Dexterity
3957,Bioscopy,2000,0,Roll / Spin and Move,Trivia
3959,Royal Steeple Chase,1939,0,Auction/Bidding,Card Game
3960,Tochtli,2001,0,Area Movement,Abstract Strategy
3961,Prospecting,1981,0,Commodity Speculation,Economic
3962,Sum-Up,1969,0,Not available,Card Game
3963,Tryce,1969,5.50396,Set Collection,Card Game
3964,Crypt: The Pharaoh's Curse,2002,0,Hand Management,Ancient
3965,Snapshot,1979,5.55314,Action Points,Fighting
3966,The Succession Wars,1987,5.58501,Dice Rolling,Science Fiction
3967,Battlefleet Gothic,1999,5.94343,Line of Sight,Miniatures
3968,Demonwand,1984,0,Dice Rolling,Fantasy
3969,Lost Worlds Adventure Set I: In the Ruins of the Ancients,1984,0,Area Movement,Adventure
3970,BattleTech Science Fiction Combat Book Game: SHD-2H Shadow Hawk,1987,5.51389,Rock-Paper-Scissors,Book
3971,RuneSword: Bith – Female Cleric,1991,0,Variable Player Powers,Book
3972,Catan: Portable Edition,2002,6.00262,Dice Rolling,City Building
3973,Footmania,1993,5.53783,Auction/Bidding,Card Game
3974,Karl May-Spiel,1988,0,Not available,Action / Dexterity
3975,Corporation,2012,0,Not available,Card Game
3976,Not available,Not available,Not available,Not available,Not available
3978,Cassa Grande,1987,0,Memory,Card Game
3979,Wabanti,1974,5.52432,Dice Rolling,Abstract Strategy
3981,Not available,Not available,Not available,Not available,Not available
3983,Sabotage,1963,5.50803,Hand Management,Abstract Strategy
3985,Crisis: Korea 1995,1992,5.55508,Hexagon Grid,Modern Warfare
3986,Battle for Germany,1975,5.86625,Dice Rolling,Wargame
3987,The VANITPL8 Game,2001,0,Paper-and-Pencil,Humor
3988,Life As A Blackman,1999,0,Roll / Spin and Move,Dice
3989,Remote Possibilities,2002,5.50884,Not available,Party Game
3991,The Fall of Castle Bondi,2002,0,Roll / Spin and Move,Expansion for Base-game
3992,Advanced Tobruk: Tank Battles in North Africa 1940-43,2002,5.65188,Dice Rolling,Wargame
3993,Necromancer,1982,5.52246,Dice Rolling,Fantasy
3994,Blackmail,2000,0,Auction/Bidding,Dice
3995,W.A.C.K.O.,1988,0,Not available,Action / Dexterity
3996,Sudden Death!,1978,5.49949,Enclosure,Abstract Strategy
3997,Round Four,1986,0,Pick-up and Deliver,Abstract Strategy
3998,Fortune,1976,5.53633,Roll / Spin and Move,Economic
3999,Diabolo,1999,5.50097,Spelling,Card Game
4000,Scan,1970,5.50927,Pattern Recognition,Card Game
4001,Space Marine,1989,5.74269,Dice Rolling,Miniatures
4002,Renegades:  Eldar and Chaos Armies for Space Marine,1992,5.55952,Not available,Expansion for Base-game
4003,Dark Lore,1998,0,Roll / Spin and Move,Horror
4005,Gundam M.S.War Trading Card Game,2000,0,Hand Management,Collectible Components
4006,P.O.W. Rescue,1987,0,Roll / Spin and Move,Wargame
4007,Diplomacy: Federation Variant,2000,0,Area Movement,Abstract Strategy
4008,Cobra: Game of the Normandy Breakout,1977,5.67543,Dice Rolling,Wargame
4009,Breitenfeld,1976,5.58933,Dice Rolling,Pike and Shot
4011,Jerusalem! Tactical Game of the 1948 War,1975,5.55864,Dice Rolling,Modern Warfare
4013,"A Bold Stroke: The Soviet Liberation of Kiev, 1943",1996,5.51446,Dice Rolling,Wargame
4014,Dawn Patrol: Role Playing Game of WW I Air Combat,1982,5.66684,Dice Rolling,Aviation / Flight
4015,MacArthur's Return: Leyte 1944,1994,5.52196,Chit-Pull System,Wargame
4016,"""Scratch One Flat Top!""",1995,5.54218,Hexagon Grid,Aviation / Flight
4017,Charlemagne: Dark Ages in Europe,1998,5.52458,Hexagon Grid,Medieval
4018,Pentagon Games,1987,0,Hexagon Grid,Abstract Strategy
4019,Not available,Not available,Not available,Not available,Not available
4021,"Road to Richmond: The Peninsular Campaign, May-July, 1862",1977,5.52409,Dice Rolling,American Civil War
4022,Diceball!,1991,5.4979,Dice Rolling,Dice
4023,Frag Deadlands,2001,5.48633,Area Movement,American West
4024,Ronin: Duels,2000,0,Variable Player Powers,Collectible Components
4025,Lankhmar,1976,5.4992,Alliances,Adventure
4026,Udder Madness,2000,0,Grid Movement,Abstract Strategy
4027,Breacan,2002,0,Dice Rolling,Abstract Strategy
4028,Le Tour du Monde en 80 Jours,0,0,Not available,Card Game
4030,Metis,2001,0,Area Movement,Abstract Strategy
4031,Jungle,0,5.5426,Grid Movement,Abstract Strategy
4033,Rosetta,1974,0,Tile Placement,Puzzle
4034,Triazzle,1998,5.48447,Modular Board,Abstract Strategy
4035,Man Bites Dog,2002,5.22599,Not available,Card Game
4036,Anzio Beachhead,1969,5.5156,Hexagon Grid,Wargame
4037,"Raid! Commando Operations, in the 20th Century",1977,5.48379,Hexagon Grid,Modern Warfare
4038,Skip-Bo Dice,1995,5.48413,Dice Rolling,Dice
4039,The California Raisins Board Game,1987,0,Roll / Spin and Move,Children's Game
4040,Tri-Ominos,1965,5.41002,Hand Management,Abstract Strategy
4041,Go to the Head of the Class,1936,5.36584,Roll / Spin and Move,Children's Game
4042,Dweebs Geeks & Weirdos,1988,5.48802,Line Drawing,Action / Dexterity
4044,World 7,1986,0,Hand Management,Card Game
4046,Not available,Not available,Not available,Not available,Not available
4048,"War of the States: Gettysburg, 1863",2002,5.52125,Area-Impulse,American Civil War
4049,Hammer's Slammers,1984,5.51871,Dice Rolling,Novel-based
4050,Fortress Europa,1978,5.74629,Dice Rolling,Wargame
4052,Star Wars: Trading Card Game,2002,5.56227,Action Points,Card Game
4053,Not available,Not available,Not available,Not available,Not available
4055,Index Pro Football 2002,2002,0,Not available,Sports
4056,The Anyville Horror,2001,0,Cooperative Game,Horror
4057,1776: The Birth Of A Nation,1974,5.48388,Roll / Spin and Move,Age of Reason
4059,Not available,Not available,Not available,Not available,Not available
4061,Tiles,1990,0,Tile Placement,Word Game
4062,Swap!,2000,5.43515,Pattern Recognition,Card Game
4063,Three Eyed Jack,2001,0,Not available,American West
4065,Crime Busters,1986,0,Not available,Deduction
4066,Pre-Fix,1993,0,Not available,Word Game
4067,Railroad Dynasty,1997,0,Pattern Building,Card Game
4068,Rats!,2000,5.45685,Set Collection,Card Game
4070,Tri-Virsity,1988,5.47826,Hand Management,Card Game
4071,Double Talk,1992,0,Not available,Party Game
4072,¡Knock-on-Word!,1992,0,Team-Based Game,Word Game
4074,Not available,Not available,Not available,Not available,Not available
4076,Management Material (General Office Edition),2002,5.48069,Hand Management,Card Game
4077,Who Wants to Be a Millionaire,2000,5.20342,Push Your Luck,Movies / TV / Radio theme
4078,Wild: Rummy Edition,2001,0,Set Collection,Card Game
4079,What's My Word?,1972,5.74708,Paper-and-Pencil,Deduction
4080,Regency,1992,0,Roll / Spin and Move,Medieval
4081,Nick at Nite Classic TV Trivia Game,1996,5.49218,Roll / Spin and Move,Movies / TV / Radio theme
4082,Can't Stop the Turtles,2002,5.51067,Push Your Luck,Dice
4083,Hi-Spot,1969,0,Pattern Building,Abstract Strategy
4084,The Alamo,1981,5.54094,Hexagon Grid,Post-Napoleonic
4085,Leningrad,1979,5.6377,Dice Rolling,Wargame
4086,"Napoleon at Bay: The Campaign in France, 1814",1978,5.65578,Dice Rolling,Napoleonic
4087,1812: The Campaign of Napoleon in Russia,1972,5.5425,Area Movement,Napoleonic
4089,Not available,Not available,Not available,Not available,Not available
4091,Adeptus Titanicus,1988,5.58296,Dice Rolling,Miniatures
4092,wordXchange,2000,5.50667,Tile Placement,Word Game
4093,Exit,1983,5.49918,Not available,Abstract Strategy
4094,Slip Disc,1980,0,Pattern Recognition,Action / Dexterity
4095,Star Munchkin,2002,5.82974,Dice Rolling,Card Game
4096,Nodwick: The Card Game,2002,5.49172,Set Collection,Card Game
4097,Raise the Roof,1982,5.50182,Hand Management,Card Game
4098,Age of Steam,2002,7.47843,Auction/Bidding,Economic
4099,Keythedral,2002,6.4116,Auction/Bidding,City Building
4101,Catan: Cities & Knights – 5-6 Player Extension,2000,6.48483,Dice Rolling,Expansion for Base-game
4102,Europa Universalis,1993,5.65911,Area Movement,Age of Reason
4103,Catan: Seafarers – 5-6 Player Extension,1999,6.44073,Dice Rolling,Civilization
4104,Sssnake,1992,0,Tile Placement,Puzzle
4105,The Wheel of Time Collectible Card Game,2000,5.48162,Dice Rolling,Card Game
4107,Hang in There!,2000,5.5264,Pick-up and Deliver,Action / Dexterity
4108,Big Bucks Baseball,1995,0,Not available,Economic
4109,Not available,Not available,Not available,Not available,Not available
4111,Not available,Not available,Not available,Not available,Not available
4113,Tigers in the Mist: Ardennes Offensive,1999,5.59273,Area Movement,Wargame
4114,Ipswich,1983,5.51022,Spelling,Word Game
4115,Gamblers Golf,1975,0,Betting and Bluffing,Dice
4116,Capitol Rummy,1980,0,Set Collection,Card Game
4117,Ruffhouse,1980,5.47523,Roll / Spin and Move,Not available
4118,Slide 5,1980,5.49708,Pattern Building,Abstract Strategy
4120,King's Court,1983,5.53362,Hand Management,Card Game
4121,Road to the Rhine,1979,5.57701,Dice Rolling,Wargame
4122,Electronic Battleship,1977,5.36701,Secret Unit Deployment,Deduction
4123,Gambler,1975,5.50785,Betting and Bluffing,Dice
4124,Austro-Prussian War,1994,5.5351,Hexagon Grid,Post-Napoleonic
4125,"The Punic Wars: Rome vs Carthage, 264-146 B.C.",1975,5.54885,Dice Rolling,Ancient
4126,Dixie: The Second War Between the States,1976,5.44293,Hexagon Grid,Wargame
4127,Arne,2002,5.35117,Not available,Card Game
4128,Not available,Not available,Not available,Not available,Not available
4130,Supremacy: Field Marshall's Handbook,1987,5.50805,Not available,Expansion for Base-game
4131,Word Checkers,1979,0,Grid Movement,Abstract Strategy
4133,In The Dark,1989,0,Memory,Abstract Strategy
4135,Man O' War: Sea of Blood,1994,5.65223,Variable Player Powers,Expansion for Base-game
4137,Fire in Mississippi,1999,0,Hexagon Grid,American Civil War
4138,Madame Guillotine,1976,0,Alliances,Negotiation
4139,Rommel's Panzers,1980,5.5141,Hexagon Grid,Wargame
4140,Topple,1979,0,Not available,Abstract Strategy
4141,Spy Web,1997,5.54737,Secret Unit Deployment,Bluffing
4142,Pen the Pig,1990,0,Enclosure,Children's Game
4143,Guess Who?,1979,4.94474,Deduction,Children's Game
4144,Victory in Europe,1985,0,Hexagon Grid,Wargame
4145,Not available,Not available,Not available,Not available,Not available
4147,Spellbinder,1980,5.50527,Dice Rolling,Fantasy
4148,Mehen,-3000,0,Dice Rolling,Abstract Strategy
4150,Bakari,2002,5.4797,Not available,Abstract Strategy
4152,Scooby-Doo! Expandable Card Game,2000,5.49718,Hand Management,Card Game
4153,Wizard in Training Trading Card Game,2000,0,Hand Management,Card Game
4154,Yu-Gi-Oh! Trading Card Game,1999,5.74348,Deck Construction,Card Game
4155,Carmel Proper,1995,0,Pick-up and Deliver,Transportation
4156,Endangered Species,1976,0,Roll / Spin and Move,Animals
4157,Hail to the Chief,1987,5.48292,Roll / Spin and Move,Political
4159,Prime Time,1973,0,Roll / Spin and Move,Movies / TV / Radio theme
4160,Henry VIII: Intrigue in the Tudor Court,2000,0,Hand Management,Card Game
4161,Doghouse,2000,0,Roll / Spin and Move,Abstract Strategy
4162,Horse Show,1997,5.47455,Hand Management,Animals
4163,Quest for the Faysylwood,1993,5.51394,Variable Player Powers,Card Game
4164,Sell Out by National Lampoon,1978,0,Roll / Spin and Move,Dice
4165,Spare Time Bowling,1940,5.40077,Dice Rolling,Dice
4166,James Clavell's Whirlwind,1986,0,Alliances,Adventure
4167,Insurgency,1979,0,Action Queue,Modern Warfare
4168,Blitzkrieg,1965,5.58811,Dice Rolling,Wargame
4169,Deathtrap Dungeon: Card Game,1998,0,Ladder Climbing,Card Game
4170,Cardcaptors Trading Card Game,2001,0,Not available,Card Game
4171,Sailor Moon CCG,2000,5.49976,Not available,Card Game
4172,Veracruz: U.S. Invasion of Mexico 1847,1977,5.52676,Dice Rolling,Post-Napoleonic
4173,Anzio: The Struggle for Italy – 1943-1945,1969,5.76997,Dice Rolling,Wargame
4174,Lifeboat,2002,5.95554,Hand Management,Bluffing
4175,Diskwars: Legend of the Five Rings,2000,5.49164,Variable Player Powers,Collectible Components
4176,Armies of Arcana,1997,5.51962,Not available,Fantasy
4177,ShowBiz Shuffle,2002,5.51305,Hand Management,Card Game
4178,Kaliko,1968,5.54571,Pattern Building,Abstract Strategy
4179,Not available,Not available,Not available,Not available,Not available
4180,Pizza Wars Imperium,1988,0,Area Movement,Fantasy
4181,Tri-Trac,1980,5.48607,Tile Placement,Abstract Strategy
4183,Double Dog Dare,1997,0,Hand Management,Card Game
4184,Gigantic,2002,0,Not available,Humor
4185,B.S.: The Game of Being Sneaky,1986,5.49438,Betting and Bluffing,Bluffing
4186,The Politicians Game,1992,0,Storytelling,Party Game
4187,Chameleon,1988,0,Set Collection,Card Game
4188,"Gangsters, Gun Molls, & G-Men",1995,0,Not available,Card Game
4189,Star Wars: Episode I – Battle for Naboo 3-D Action Game,1999,5.45257,Roll / Spin and Move,Action / Dexterity
4190,The Battle of Seattle,2000,5.51338,Dice Rolling,Humor
4191,Bogart,1999,0,Dice Rolling,Dice
4192,Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),1983,6.04916,Dice Rolling,Fantasy
4193,War of the Sky Cities,1979,0,Not available,Miniatures
4194,Conquest of North America,1978,0,Area Movement,American Indian Wars
4195,War of the Ring: The Game of Middle Earth,1976,0,Area Movement,Bluffing
4196,Fantasy Forest,1980,5.52378,Hand Management,Children's Game
4197,Mercenary,1975,0,Alliances,Economic
4198,Bloody Mary:  Further Intrigue in the Tudor Court,2002,0,Hand Management,Card Game
4200,"Black Wednesday: The Battle of Krasni Bor, 10-11 Feb 1943",1995,5.61935,Dice Rolling,Wargame
4202,GD '41,1996,5.568,Dice Rolling,Wargame
4203,Not available,Not available,Not available,Not available,Not available
4205,On to Richmond!,1998,5.73063,Hexagon Grid,American Civil War
4206,Roads to Gettysburg,1993,5.80491,Hexagon Grid,American Civil War
4207,"Kharkov: The Soviet Spring Offensive, 1942",1978,5.60709,Dice Rolling,Wargame
4208,"The Kaiser's Battle: The German Offensive, March 1918",1980,5.53651,Dice Rolling,Wargame
4209,Monza,2000,6.08923,Dice Rolling,Children's Game
4211,Stonewall Jackson's Way,1992,5.82062,Dice Rolling,American Civil War
4212,Here Come the Rebels,1993,5.82783,Dice Rolling,American Civil War
4213,Mao,0,5.50753,Hand Management,Card Game
4214,Stonewall in the Valley,1995,5.78861,Dice Rolling,American Civil War
4215,One-Page Bulge,1980,5.5337,Dice Rolling,Wargame
4216,Boxum,1998,0,Betting and Bluffing,Abstract Strategy
4217,Alexandros,1991,5.53078,Area Movement,Ancient
4219,Goal,2000,5.49494,Hand Management,Card Game
4220,Biras,2002,0,Betting and Bluffing,Collectible Components
4221,Quest for the Dragonlords,2002,5.49684,Dice Rolling,Adventure
4222,War Between The States 1861-1865,1977,5.55543,Dice Rolling,American Civil War
4223,Borderline: Europe/Middle East Edition,2001,0,Hand Management,Bluffing
4224,Borderline: USA Edition,1989,0,Hand Management,Bluffing
4225,Stratosphere,1936,0,Not available,Racing
4226,"Victory at Midway: Turning Point of the Pacific War, June 1942",1992,5.63336,Dice Rolling,Nautical
4227,Successors: Clash of the Generals 323 - 310 BC,1992,0,Area Movement,Ancient
4228,1918: Storm in the West,1992,5.61536,Dice Rolling,Wargame
4229,Spellfire,1994,5.40539,Campaign / Battle Card Driven,Card Game
4230,Napoleon's Last Battles,1976,5.89489,Dice Rolling,Napoleonic
4231,Xenophon – March of the Ten Thousand 401 - 400 BC,1992,0,Area Movement,Ancient
4233,Holiday USA,2002,0,Area Movement,Children's Game
4234,Hougoumont: Rock of Waterloo,1991,5.55318,Action Points,Napoleonic
4236,"Dreadnought: Surface Combat in the Battleship Era, 1906-45",1975,5.55069,Action Queue,Nautical
4237,"El Alamein: Battles in North Africa, 1942",1973,5.50851,Dice Rolling,Wargame
4238,18 Wheeler,1978,0,Auction/Bidding,Economic
4239,Korea: The Mobile War 1950-51,1971,5.50731,Dice Rolling,Korean War
4240,Combined Arms: Combat Operations in the 20th Century,1974,5.45492,Dice Rolling,Korean War
4241,Soldiers: Tactical Combat in 1914-15,1972,5.58681,Hexagon Grid,Wargame
4242,Foxbat & Phantom: Tactical Aerial Combat in the 1970's,1973,5.46443,Dice Rolling,Aviation / Flight
4243,Man of War,1983,0,Bias,American Revolutionary War
4244,Highway to the Reich: Operation Market-Garden 17-26 September 1944,1977,5.62699,Hexagon Grid,Wargame
4246,Checkpoint Omega,1983,5.50846,Dice Rolling,Racing
4248,City States of Arklyrell,1983,5.49781,Dice Rolling,Fantasy
4249,Trias,2002,5.95939,Action Points,Animals
4250,Mad Nooks,2001,0,Pattern Recognition,Abstract Strategy
4251,Globopolis,2002,5.46099,Roll / Spin and Move,Dice
4252,The Big Red One: The Game of the First Infantry Division at the Battle of the Bulge,1979,5.53756,Dice Rolling,Wargame
4253,Not available,Not available,Not available,Not available,Not available
4255,Ney vs. Wellington: The Battle of Quatre Bras,1979,5.66937,Dice Rolling,Napoleonic
4256,Mäuse-Rallye,2001,5.5332,Flicking,Action / Dexterity
4257,Elephant's Trunk,2000,5.49814,Not available,Animals
4259,The Trojan War: The Game of Gods & Heroes,1981,5.51091,Dice Rolling,Ancient
4260,Odyssey: The Gods Clash,1980,5.49447,Bias,Ancient
4261,"Odysseus: Role Play for the Homeric Age, Legendry & Mythology",1980,0,Dice Rolling,Adventure
4263,Troja,1996,0,Grid Movement,Abstract Strategy
4264,Odysseus,1985,0,Not available,Ancient
4265,Iliad: The Siege of Troy,1978,5.53245,Dice Rolling,Ancient
4266,Troy,1977,0,Dice Rolling,Ancient
4268,Razzle,1981,5.50475,Spelling,Dice
4269,Superman III,1983,0,Not available,Card Game
4270,The Far Seas,1987,5.58769,Area Movement,Nautical
4272,Punk sucht Lady,1993,5.50792,Pattern Recognition,Bluffing
4274,Orbit,0,0,Set Collection,Card Game
4276,Across the Potomac,1994,5.54072,Dice Rolling,American Civil War
4278,Battle Over Britain,1983,5.58476,Dice Rolling,Aviation / Flight
4279,Flux,1986,5.48479,Hexagon Grid,Fantasy
4280,Starleader: Assault! – A Futuristic Man-To-Man Combat Game,1982,5.48831,Hexagon Grid,Science Fiction
4281,Freeloader,2002,5.51122,Modular Board,Abstract Strategy
4282,Greed,1984,5.4777,Betting and Bluffing,Dice
4283,Forma,1973,0,Tile Placement,Abstract Strategy
4284,Dice Quest,1990,0,Dice Rolling,Dice
4285,Chattanooga,1997,5.50925,Dice Rolling,American Civil War
4287,Onslaught,1987,5.59753,Action Points,Wargame
