Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Year Offset,Owned_Per_Year,ID,BGG Rank,Mechanics,Domains
Great Western Trail,2.0,4.0,150.0,12.0,29457.0,8.3,3.71,35804.0,Strategy Games,True,8.02,American West,"Deck, Bag, and Pool Building",39.9,0.82,True,2016.0,8.0,4475.5,193738.0,11,"Deck Bag and Pool Building, Hand Management, Ownership, Point to Point Movement, Rondel, Set Collection, Track Movement, Variable Set-up",Strategy Games
War of the Ring: Second Edition,2.0,4.0,180.0,13.0,13725.0,8.49,4.14,22281.0,Thematic Games,True,8.19,Fantasy,Action Drafting,62.99,0.62,True,2012.0,12.0,1856.75,115746.0,12,"Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Deck Bag and Pool Building, Dice Rolling, Hand Management, Hidden Movement, Movement Points, Simulation, Team-Based Game","Thematic Games, Wargames"
Spirit Island,1.0,4.0,120.0,13.0,25722.0,8.35,4.01,38254.0,Strategy Games,True,8.14,Environmental,Action Retrieval,45.0,0.67,True,2017.0,7.0,5464.86,162886.0,13,"Action Retrieval, Area Majority / Influence, Campaign / Battle Card Driven, Cooperative Game, Events, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers",Strategy Games
Scythe,1.0,5.0,115.0,14.0,57871.0,8.24,3.41,75640.0,Strategy Games,True,7.99,Economic,Area Majority / Influence,200.0,0.77,True,2016.0,8.0,9455.0,169786.0,14,"Area Majority / Influence, Card Play Conflict Resolution, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Moving Multiple Units, Narrative Choice / Paragraph, Solo / Solitaire Game, Tech Trees / Tech Tracks, Variable Player Powers",Strategy Games
The Castles of Burgundy,2.0,4.0,90.0,12.0,46507.0,8.13,3.0,63058.0,Strategy Games,True,8.02,Dice,Dice Rolling,29.5,0.74,True,2011.0,13.0,4850.62,84876.0,15,"Dice Rolling, Grid Coverage, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based, Worker Placement with Dice Workers",Strategy Games
Terra Mystica,2.0,5.0,150.0,12.0,39284.0,8.14,3.96,42720.0,Strategy Games,True,7.89,Civilization,Area Majority / Influence,69.5,0.92,True,2012.0,12.0,3560.0,120677.0,16,"End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games
7 Wonders Duel,2.0,2.0,30.0,10.0,60302.0,8.11,2.23,94343.0,Strategy Games,True,7.97,Ancient,End Game Bonuses,23.95,0.64,True,2015.0,9.0,10482.56,173346.0,17,"Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War",Strategy Games
Concordia,2.0,5.0,100.0,13.0,28105.0,8.12,3.03,32014.0,Strategy Games,True,7.94,Ancient,Action Retrieval,39.9,0.88,True,2013.0,11.0,2910.36,124361.0,18,"Action Retrieval, Advantage Token, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Movement Points, Point to Point Movement, Set Collection, Variable Set-up",Strategy Games
Brass: Lancashire,2.0,4.0,120.0,14.0,19400.0,8.17,3.86,25429.0,Strategy Games,True,7.96,Economic,Hand Management,40.0,0.76,True,2007.0,17.0,1495.82,28720.0,19,"Hand Management, Income, Loans, Network and Route Building",Strategy Games
Wingspan,1.0,5.0,70.0,10.0,43165.0,8.11,2.42,61775.0,Family Games,True,7.89,Animals,Action Queue,38.99,0.7,True,2019.0,5.0,12355.0,266192.0,20,"Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo / Solitaire Game","Family Games, Strategy Games"
